UR	SR
d.ɹ.ʌ0.m.æ1.t.ɪ0.k	d.ɹ.ʌ0.m.æ1.ɾ.ɪ0.k
m.ɛ2.l.ʌ0.d.ɹ.ʌ0.m.æ1.t.ɪ0.k	m.ɛ2.l.ʌ0.d.ɹ.ʌ0.m.æ1.ɾ.ɪ0.k
m.j.u2.t.ʌ0.l.eɪ1.ʃ.ʌ0.n	m.j.u2.ɾ.ʌ0.l.eɪ1.ʃ.ʌ0.n
h.w.ɪ1.t.ʌ0.l.z	h.w.ɪ1.ɾ.ʌ0.l.z
m.ɑ0.t.s.i0.oʊ1.t.i0	m.ɑ0.t.s.i0.oʊ1.ɾ.0
ɛ1.s.k.ʌ0.l.eɪ2.t.ɪ0.d	ɛ.s.k.ʌ0.l.eɪ2.ɾ.ɪ0.d
k.æ1.t.ʌ0.l.ɪ2.s.t.s	k.æ1.ɾ.ʌ0.l.ɪ2.s.t.s
t.ɹ.i1.t.ʌ0.s.ʌ0.z	t.ɹ.i1.ɾ.ʌ0.s.ʌ0.z
n.ɑ0.k.ɑ1.t.ʌ0	n.ɑ0.k.ɑ1.ɾ.0
m.ɪ0.s.t.ɹ.i1.t.ɪ0.ŋ	m.ɪ0.s.t.ɹ.i1.ɾ.ɪ0.ŋ
n.u1.t.aʊ2.n	n.u1.ɾ.aʊ2.n
l.ɪ2.t.ʌ0.g.eɪ1.ʃ.ʌ0.n	l.ɪ2.ɾ.ʌ0.g.eɪ1.ʃ.ʌ0.n
eɪ1.t.u2.d.z	e.ɾ.u2.d.z
p.i1.t.ɚ0.ɪ0.ŋ	p.i1.ɾ.ɚ0.ɪ0.ŋ
b.aɪ2.oʊ0.n.ɛ1.t.ɪ0.k	b.aɪ2.oʊ0.n.ɛ1.ɾ.ɪ0.k
d.æ1.t.ʌ0.p.ɔɪ1.n.t.s	d.æ1.ɾ.ʌ0.p.ɔɪ1.n.t.s
ɪ2.n.ɪ1.ʃ.i0.eɪ2.t.ɪ0.ŋ	ɪ.n.ɪ1.ʃ.i0.eɪ2.ɾ.ɪ0.ŋ
ɪ2.n.s.aɪ1.t.ɪ0.d	ɪ.n.s.aɪ1.ɾ.ɪ0.d
ɪ2.g.n.aɪ1.t.ɪ0.ŋ	ɪ.g.n.aɪ1.ɾ.ɪ0.ŋ
ɔ0.f.s.ɛ1.t.ɪ0.ŋ	ɔ.f.s.ɛ1.ɾ.ɪ0.ŋ
n.oʊ1.t.ʌ0.b.ɛ2.ɹ.t	n.oʊ1.ɾ.ʌ0.b.ɛ2.ɹ.t
n.i0.ɑ1.t.ʌ0.n.i0	n.i0.ɑ1.ɾ.ʌ0.n.0
b.ɑ1.t.ʌ0.m.z	b.ɑ1.ɾ.ʌ0.m.z
f.l.æ1.t.ʌ0.n.ɪ0.ŋ	f.l.æ1.ɾ.ʌ0.n.ɪ0.ŋ
w.oʊ1.t.ʌ0.n	w.oʊ1.ɾ.ʌ0.n
ɹ.æ1.t.ʌ0.l.ɚ0	ɹ.æ1.ɾ.ʌ0.l.0
ɪ0.g.z.ɑ1.n.ɚ0.eɪ2.t.ɪ0.d	ɪ.g.z.ɑ1.n.ɚ0.eɪ2.ɾ.ɪ0.d
m.ɛ0.l.i1.t.ʌ0	m.ɛ0.l.i1.ɾ.0
ʌ0.p.ɹ.ɑ1.k.s.ɪ0.m.eɪ2.t.ɪ0.ŋ	ʌ.p.ɹ.ɑ1.k.s.ɪ0.m.eɪ2.ɾ.ɪ0.ŋ
f.ɚ1.t.ʌ0.l.aɪ2.z.ɚ0	f.ɚ1.ɾ.ʌ0.l.aɪ2.z.0
k.eɪ1.t.ɚ0	k.eɪ1.ɾ.0
j.u0.l.i1.t.ʌ0	j.u0.l.i1.ɾ.0
ʌ2.n.ʌ0.p.ɑ2.l.ʌ0.dʒ.ɛ1.t.ɪ0.k	ʌ.n.ʌ0.p.ɑ2.l.ʌ0.dʒ.ɛ1.ɾ.ɪ0.k
dʒ.i2.oʊ0.p.ʌ0.l.ɪ1.t.ɪ0.k.ʌ0.l	d.i2.oʊ0.p.ʌ0.l.ɪ1.ɾ.ɪ0.k.ʌ0.l
ʃ.eɪ0.l.i1.t.oʊ0	ʃ.eɪ0.l.i1.ɾ.0
s.ɛ2.m.i0.ɔ2.t.ʌ0.m.æ1.t.ɪ0.k	s.ɛ2.m.i0.ɔ2.ɾ.ʌ0.m.æ1.ɾ.ɪ0.k
h.ɑ1.s.p.ɪ2.t.ʌ0.l.z	h.ɑ1.s.p.ɪ2.ɾ.ʌ0.l.z
m.æ1.t.ɪ0.ŋ.l.i0	m.æ1.ɾ.ɪ0.ŋ.l.0
d.ɑ1.t.ɚ0.ɚ0	d.ɑ1.ɾ.ɚ0.0
ɔ1.t.oʊ0.k.l.eɪ2.v	ɔ.ɾ.oʊ0.k.l.eɪ2.v
t.ɹ.ɑ1.t.ʌ0.d	t.ɹ.ɑ1.ɾ.ʌ0.d
ɪ2.n.t.ɚ0.m.ɪ1.t.ʌ0.n.t	ɪ.n.t.ɚ0.m.ɪ1.ɾ.ʌ0.n.t
b.ɹ.ɑ0.n.k.ɑ1.t.oʊ0	b.ɹ.ɑ0.n.k.ɑ1.ɾ.0
k.l.ʌ1.t.ɚ0	k.l.ʌ1.ɾ.0
d.æ1.t.ʌ0.b.eɪ2.s	d.æ1.ɾ.ʌ0.b.eɪ2.s
b.ʌ1.t.ʌ0.n.h.oʊ2.l	b.ʌ1.ɾ.ʌ0.n.h.oʊ2.l
h.u1.t.ɪ0.d	h.u1.ɾ.ɪ0.d
ɪ1.n.t.ɹ.oʊ0.v.ɚ2.t.ɪ0.d	ɪ.n.t.ɹ.oʊ0.v.ɚ2.ɾ.ɪ0.d
w.ɔ1.t.ɚ0.d	w.ɔ1.ɾ.ɚ0.d
f.ɹ.aɪ1.t.ʌ0.n.ɪ0.ŋ	f.ɹ.aɪ1.ɾ.ʌ0.n.ɪ0.ŋ
k.i1.t.ɚ0	k.i1.ɾ.0
g.ɹ.i1.t.ɪ0.ŋ.z	g.ɹ.i1.ɾ.ɪ0.ŋ.z
i0.s.l.eɪ1.t.ʌ0	i.s.l.eɪ1.ɾ.0
ɑ0.tʃ.ɛ1.t.ʌ0	ɑ.tʃ.ɛ1.ɾ.0
n.ʌ0.s.ɛ1.s.ɪ0.t.eɪ2.t.ɪ0.ŋ	n.ʌ0.s.ɛ1.s.ɪ0.t.eɪ2.ɾ.ɪ0.ŋ
b.ɹ.u0.n.ɛ1.t.ʌ0	b.ɹ.u0.n.ɛ1.ɾ.0
j.u1.t.u2.b	j.u1.ɾ.u2.b
ɛ2.k.s.p.l.ɔɪ2.t.eɪ1.ʃ.ʌ0.n	ɛ.k.s.p.l.ɔɪ2.ɾ.eɪ1.ʃ.ʌ0.n
ɛ1.k.s.k.ʌ0.v.eɪ2.t.ɚ0.z	ɛ.k.s.k.ʌ0.v.eɪ2.ɾ.ɚ0.z
k.ɛ1.t.ʌ0.l	k.ɛ1.ɾ.ʌ0.l
ʌ1.p.d.eɪ2.t.ɪ0.ŋ	ʌ.p.d.eɪ2.ɾ.ɪ0.ŋ
ɹ.ɛ1.g.j.ʌ0.l.eɪ2.t.ɚ0	ɹ.ɛ1.g.j.ʌ0.l.eɪ2.ɾ.0
k.æ1.t.ɚ0.s.ʌ0.n	k.æ1.ɾ.ɚ0.s.ʌ0.n
ɹ.æ1.t.ʌ0.f.aɪ2.z	ɹ.æ1.ɾ.ʌ0.f.aɪ2.z
t.w.ɪ1.t.i0	t.w.ɪ1.ɾ.0
ʌ0.n.d.ɪ2.f.ʌ0.ɹ.ɛ1.n.ʃ.i0.eɪ2.t.ɪ0.d	ʌ.n.d.ɪ2.f.ʌ0.ɹ.ɛ1.n.ʃ.i0.eɪ2.ɾ.ɪ0.d
s.ɪ2.m.b.i0.ɑ1.t.ɪ0.k.s	s.ɪ2.m.b.i0.ɑ1.ɾ.ɪ0.k.s
w.ɔ1.t.ɚ0.z	w.ɔ1.ɾ.ɚ0.z
m.i1.t.i0.ɔ0.ɹ.aɪ2.t	m.i1.ɾ.i0.ɔ0.ɹ.aɪ2.t
p.æ1.t.ʌ0.n	p.æ1.ɾ.ʌ0.n
ʌ0.w.eɪ1.t.ɪ0.ŋ	ʌ.w.eɪ1.ɾ.ɪ0.ŋ
ɑ1.t.ʌ0.b.ɑ2.n	ɑ.ɾ.ʌ0.b.ɑ2.n
n.ɑ0.ɹ.k.ɑ1.t.ɪ0.k.s	n.ɑ0.ɹ.k.ɑ1.ɾ.ɪ0.k.s
d.j.u1.t.i0	d.j.u1.ɾ.0
f.ɹ.u1.t.i0	f.ɹ.u1.ɾ.0
ɪ0.m.ɪ1.t.ɪ0.ŋ	ɪ.m.ɪ1.ɾ.ɪ0.ŋ
tʃ.ɪ1.t.ɪ0.k	t.ɪ1.ɾ.ɪ0.k
t.ɹ.æ0.n.z.m.ɪ1.t.ʌ0.d	t.ɹ.æ0.n.z.m.ɪ1.ɾ.ʌ0.d
b.ɪ0.l.ɪ1.t.ʌ0.l.d	b.ɪ0.l.ɪ1.ɾ.ʌ0.l.d
f.l.oʊ1.t.ɚ0	f.l.oʊ1.ɾ.0
l.æ1.t.ʌ0.n.z	l.æ1.ɾ.ʌ0.n.z
s.ɪ2.s.t.ʌ0.m.æ1.t.ɪ0.k.s	s.ɪ2.s.t.ʌ0.m.æ1.ɾ.ɪ0.k.s
p.ɛ0.t.ɹ.aɪ1.t.ɪ0.s	p.ɛ0.t.ɹ.aɪ1.ɾ.ɪ0.s
d.eɪ1.t.ʌ0.n	d.eɪ1.ɾ.ʌ0.n
ɔ2.t.ʌ0.m.æ1.t.ɪ0.k.s	ɔ.ɾ.ʌ0.m.æ1.ɾ.ɪ0.k.s
b.oʊ1.t.ɪ0.d	b.oʊ1.ɾ.ɪ0.d
ɹ.ɛ2.t.ɪ0.n.oʊ2.b.l.æ2.s.t.oʊ1.m.ʌ0	ɹ.ɛ2.ɾ.ɪ0.n.oʊ2.b.l.æ2.s.t.oʊ1.m.0
v.ɔ1.t.ɚ0	v.ɔ1.ɾ.0
w.ɔ1.t.ɚ0.ɹ.ɪ0.p.ɛ1.l.ʌ0.n.t	w.ɔ1.ɾ.ɚ0.ɹ.ɪ0.p.ɛ1.l.ʌ0.n.t
s.ɔ2.t.ɛ1.l	s.ɔ2.ɾ.ɛ1.l
n.u1.t.ʌ0.n.z	n.u1.ɾ.ʌ0.n.z
m.æ2.t.ɪ0.n.eɪ1.z	m.æ2.ɾ.ɪ0.n.eɪ1.z
aɪ2.ʌ0.f.ɹ.eɪ1.t.i0	a.ʌ0.f.ɹ.eɪ1.ɾ.0
k.æ2.s.ʌ0.v.i1.t.i0.z	k.æ2.s.ʌ0.v.i1.ɾ.i0.z
æ1.t.ʌ0.v.ɪ0.s.t.ɪ0.k	æ.ɾ.ʌ0.v.ɪ0.s.t.ɪ0.k
w.ɔ1.t.ɚ0.s.ʌ0.n	w.ɔ1.ɾ.ɚ0.s.ʌ0.n
l.eɪ1.t.ɚ0	l.eɪ1.ɾ.0
k.æ1.t.ʌ0.l.ɔ0.g.ɪ0.ŋ	k.æ1.ɾ.ʌ0.l.ɔ0.g.ɪ0.ŋ
l.i0.k.ɑ1.t.ɑ0	l.i0.k.ɑ1.ɾ.0
w.ʌ2.t.ɛ1.v.ɚ0.z	w.ʌ2.ɾ.ɛ1.v.ɚ0.z
b.ʌ1.t.ɚ0.b.aʊ0	b.ʌ1.ɾ.ɚ0.b.0
d.ɪ0.f.i1.t.ɪ0.z.ʌ0.m	d.ɪ0.f.i1.ɾ.ɪ0.z.ʌ0.m
k.æ1.l.k.j.ʌ0.l.eɪ2.t.ʌ0.d	k.æ1.l.k.j.ʌ0.l.eɪ2.ɾ.ʌ0.d
ɪ2.n.ɔ1.g.ɚ0.eɪ2.t.ɪ0.d	ɪ.n.ɔ1.g.ɚ0.eɪ2.ɾ.ɪ0.d
t.ɹ.ɑ1.t.ɪ0.d	t.ɹ.ɑ1.ɾ.ɪ0.d
h.ɛ2.t.ɚ0.ʌ0.t.ɹ.ɑ1.f.ɪ0.k	h.ɛ2.ɾ.ɚ0.ʌ0.t.ɹ.ɑ1.f.ɪ0.k
g.u1.t.ʌ0.n.b.ɚ0.g	g.u1.ɾ.ʌ0.n.b.ɚ0.g
m.ʌ0.n.ɪ1.p.j.ʌ0.l.eɪ2.t.ɪ0.ŋ	m.ʌ0.n.ɪ1.p.j.ʌ0.l.eɪ2.ɾ.ɪ0.ŋ
m.j.u1.t.ʌ0.dʒ.ɛ0.n.z	m.j.u1.ɾ.ʌ0.dʒ.ɛ0.n.z
ʌ0.s.i2.t.ʌ0.l.k.oʊ1.l.i0.n	ʌ.s.i2.ɾ.ʌ0.l.k.oʊ1.l.i0.n
s.i1.t.ɛ2.k.s	s.i1.ɾ.ɛ2.k.s
s.ɛ1.t.ɚ0.ʌ0	s.ɛ1.ɾ.ɚ0.0
ɪ2.d.i0.ɑ1.t.ɪ0.k	ɪ.d.i0.ɑ1.ɾ.ɪ0.k
eɪ0.l.i1.t.ɪ0.s.t	e.l.i1.ɾ.ɪ0.s.t
h.ɛ2.t.ɚ0.ʌ0.z.aɪ1.g.ʌ0.s	h.ɛ2.ɾ.ɚ0.ʌ0.z.aɪ1.g.ʌ0.s
ʌ0.b.ɛ1.t.ɪ0.ŋ	ʌ.b.ɛ1.ɾ.ɪ0.ŋ
ɹ.ɪ1.t.ʌ0.n.b.ɛ0.ɹ.i0.z	ɹ.ɪ1.ɾ.ʌ0.n.b.ɛ0.ɹ.i0.z
f.ɔ1.ɹ.m.j.ʌ0.l.eɪ2.t.ʌ0.d	f.ɔ1.ɹ.m.j.ʌ0.l.eɪ2.ɾ.ʌ0.d
d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.eɪ2.t.ɪ0.ŋ	d.ɪ2.f.ɚ0.ɛ1.n.ʃ.i0.eɪ2.ɾ.ɪ0.ŋ
k.ʌ1.t.ɔ2.f.s	k.ʌ1.ɾ.ɔ2.f.s
ɪ2.n.v.ɪ1.g.ɚ0.eɪ2.t.ɪ0.d	ɪ.n.v.ɪ1.g.ɚ0.eɪ2.ɾ.ɪ0.d
ʌ0.n.s.æ1.tʃ.ɚ0.eɪ2.t.ɪ0.d	ʌ.n.s.æ1.tʃ.ɚ0.eɪ2.ɾ.ɪ0.d
m.ʌ0.ʃ.ɛ1.t.i2.z	m.ʌ0.ʃ.ɛ1.ɾ.i2.z
b.i1.t.ʌ0.l.dʒ.u2.s	b.i1.ɾ.ʌ0.l.dʒ.u2.s
ɪ0.k.s.k.ɹ.u1.ʃ.i0.eɪ2.t.ɪ0.ŋ	ɪ.k.s.k.ɹ.u1.ʃ.i0.eɪ2.ɾ.ɪ0.ŋ
p.ʌ1.t.ɪ0.ŋ	p.ʌ1.ɾ.ɪ0.ŋ
p.ɚ0.ɹ.oʊ1.t.ʌ0	p.ɚ0.ɹ.oʊ1.ɾ.0
k.æ2.p.ɹ.i0.ɑ1.t.i0	k.æ2.p.ɹ.i0.ɑ1.ɾ.0
ɹ.u1.t.i0.l	ɹ.u1.ɾ.i0.l
f.eɪ1.t.ɪ0.d	f.eɪ1.ɾ.ɪ0.d
p.ʌ0.l.u1.t.ʌ0.n.t.s	p.ʌ0.l.u1.ɾ.ʌ0.n.t.s
aɪ1.t.ʌ0.m.aɪ2.z.ɚ0	a.ɾ.ʌ0.m.aɪ2.z.0
ɹ.ɛ0.p.ɛ1.t.i0	ɹ.ɛ0.p.ɛ1.ɾ.0
ɹ.ɔɪ1.t.ɚ0.z	ɹ.ɔɪ1.ɾ.ɚ0.z
ɛ0.n.t.ɹ.i1.t.i0.z	ɛ.n.t.ɹ.i1.ɾ.i0.z
l.ɪ0.dʒ.ɪ1.t.ʌ0.m.aɪ2.z.ɪ0.ŋ	l.ɪ0.dʒ.ɪ1.ɾ.ʌ0.m.aɪ2.z.ɪ0.ŋ
m.aɪ1.t.ɚ0	m.aɪ1.ɾ.0
eɪ1.t.i1.ɛ1.k.s	e.ɾ.i1.ɛ1.k.s
k.eɪ1.t.i0.z	k.eɪ1.ɾ.i0.z
t.i1.t.ɚ0.ɪ0.ŋ	t.i1.ɾ.ɚ0.ɪ0.ŋ
s.t.ɹ.æ1.t.ʌ0.m	s.t.ɹ.æ1.ɾ.ʌ0.m
k.ɪ1.t.ʌ0.l.s.ʌ0.n	k.ɪ1.ɾ.ʌ0.l.s.ʌ0.n
ɹ.ʌ1.t.ʌ0.l	ɹ.ʌ1.ɾ.ʌ0.l
æ2.n.t.i0.b.aɪ0.ɑ1.t.ɪ0.k	æ.n.t.i0.b.aɪ0.ɑ1.ɾ.ɪ0.k
h.w.ʌ2.t.ɛ1.v.ɚ0	h.w.ʌ2.ɾ.ɛ1.v.0
s.i1.t.oʊ0.z	s.i1.ɾ.oʊ0.z
ɹ.i0.k.ɑ1.n.s.t.ɪ0.t.u2.t.ɪ0.ŋ	ɹ.i0.k.ɑ1.n.s.t.ɪ0.t.u2.ɾ.ɪ0.ŋ
k.oʊ2.k.ɑ1.t.eɪ0.z	k.oʊ2.k.ɑ1.ɾ.eɪ0.z
ɹ.ɛ1.t.ɹ.oʊ0.f.ɪ2.t.ɪ0.ŋ	ɹ.ɛ1.t.ɹ.oʊ0.f.ɪ2.ɾ.ɪ0.ŋ
p.i1.t.ɚ0	p.i1.ɾ.0
h.eɪ1.t.i0	h.eɪ1.ɾ.0
ɹ.i1.t.eɪ2.l.ɪ0.ŋ.z	ɹ.i1.ɾ.eɪ2.l.ɪ0.ŋ.z
ʌ0.k.j.u1.m.j.ʌ0.l.eɪ2.t.ɪ0.d	ʌ.k.j.u1.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.d
v.ɪ1.t.ɚ0.i2.n	v.ɪ1.ɾ.ɚ0.i2.n
ʌ0.n.s.ɛ1.t.ʌ0.l.d	ʌ.n.s.ɛ1.ɾ.ʌ0.l.d
ɪ2.l.ɛ2.k.t.ɹ.ʌ0.l.ɪ1.t.ɪ0.k	ɪ.l.ɛ2.k.t.ɹ.ʌ0.l.ɪ1.ɾ.ɪ0.k
k.ɪ1.t.ɪ0.l.s.ʌ0.n	k.ɪ1.ɾ.ɪ0.l.s.ʌ0.n
ʌ0.k.ɑ1.m.ʌ0.d.eɪ2.t.ɪ0.ŋ	ʌ.k.ɑ1.m.ʌ0.d.eɪ2.ɾ.ɪ0.ŋ
ɹ.i2.ɪ0.n.s.t.eɪ1.t.ɪ0.d	ɹ.i2.ɪ0.n.s.t.eɪ1.ɾ.ɪ0.d
l.ʌ0.l.i1.t.ʌ0	l.ʌ0.l.i1.ɾ.0
m.æ0.g.n.ɛ1.t.ɪ0.k	m.æ0.g.n.ɛ1.ɾ.ɪ0.k
b.æ1.t.ɚ0.ɚ0	b.æ1.ɾ.ɚ0.0
m.ʌ0.s.k.i1.t.oʊ0	m.ʌ0.s.k.i1.ɾ.0
s.ɚ2.t.ʌ0.f.ʌ0.k.eɪ1.ʃ.ʌ0.n.z	s.ɚ2.ɾ.ʌ0.f.ʌ0.k.eɪ1.ʃ.ʌ0.n.z
ɪ2.n.ɔ1.k.j.ʌ0.l.eɪ2.t.ɪ0.ŋ	ɪ.n.ɔ1.k.j.ʌ0.l.eɪ2.ɾ.ɪ0.ŋ
ɹ.æ1.t.ʌ0.l.s.n.eɪ2.k	ɹ.æ1.ɾ.ʌ0.l.s.n.eɪ2.k
s.t.ɛ1.p.d.ɔ2.t.ɚ0	s.t.ɛ1.p.d.ɔ2.ɾ.0
f.j.u1.t.ʌ0.l	f.j.u1.ɾ.ʌ0.l
h.ɪ2.ɹ.oʊ0.h.i1.t.oʊ2.z	h.ɪ2.ɹ.oʊ0.h.i1.ɾ.oʊ2.z
p.ɹ.ɛ0.s.u1.t.i0	p.ɹ.ɛ0.s.u1.ɾ.0
w.u1.t.ʌ0.n	w.u1.ɾ.ʌ0.n
s.p.j.u1.t.ʌ0.m	s.p.j.u1.ɾ.ʌ0.m
p.ɹ.æ0.g.m.æ1.t.ɪ0.k	p.ɹ.æ0.g.m.æ1.ɾ.ɪ0.k
ɹ.i0.dʒ.ɛ1.n.ɚ0.eɪ2.t.ɪ0.ŋ	ɹ.i0.dʒ.ɛ1.n.ɚ0.eɪ2.ɾ.ɪ0.ŋ
m.ɔ0.ɹ.ɛ1.t.oʊ0	m.ɔ0.ɹ.ɛ1.ɾ.0
ɔ1.t.oʊ0.t.oʊ2.t	ɔ.ɾ.oʊ0.t.oʊ2.t
ɹ.æ1.t.i0	ɹ.æ1.ɾ.0
ɪ1.m.p.l.ɪ0.k.eɪ2.t.ɪ0.d	ɪ.m.p.l.ɪ0.k.eɪ2.ɾ.ɪ0.d
p.ɑ0.n.t.ɪ1.f.ʌ0.k.eɪ2.t.ɪ0.d	p.ɑ0.n.t.ɪ1.f.ʌ0.k.eɪ2.ɾ.ɪ0.d
tʃ.i1.t.ɪ0.ŋ	t.i1.ɾ.ɪ0.ŋ
ɪ2.n.s.ɪ1.n.ɚ0.eɪ2.t.ɚ0.z	ɪ.n.s.ɪ1.n.ɚ0.eɪ2.ɾ.ɚ0.z
dʒ.ɛ1.t.ʌ0	d.ɛ1.ɾ.0
p.i1.t.ɚ0.z.b.ɚ0.g	p.i1.ɾ.ɚ0.z.b.ɚ0.g
w.eɪ1.s.t.w.ɔ2.t.ɚ0	w.eɪ1.s.t.w.ɔ2.ɾ.0
f.oʊ1.t.ɑ2.n.z	f.oʊ1.ɾ.ɑ2.n.z
k.ʊ0.ɹ.ɑ0.m.oʊ1.t.oʊ0	k.ʊ0.ɹ.ɑ0.m.oʊ1.ɾ.0
h.aʊ1.t.ɛ2.k	h.aʊ1.ɾ.ɛ2.k
s.u2.t.ʌ0.b.ɪ1.l.ɪ0.t.i0	s.u2.ɾ.ʌ0.b.ɪ1.l.ɪ0.t.0
j.u1.t.ɚ2.n.z	j.u1.ɾ.ɚ2.n.z
l.aɪ1.t.ɚ0	l.aɪ1.ɾ.0
s.ʌ0.b.m.ɪ1.t.ʌ0.d	s.ʌ0.b.m.ɪ1.ɾ.ʌ0.d
